timestamp,city,temperature,description
2026-08-25T10:45:31.042Z,London,23.9,scattered clouds
2026-08-25T10:54:31.545Z,London,23.95,scattered clouds
2026-08-25T11:00:19.487Z,London,23.95,scattered clouds
2026-08-25T14:10:18.778Z,London,25.67,clear sky
2026-08-25T14:24:44.124Z,London,25.41,clear sky
2026-08-25T14:28:24.542Z,London,25.41,clear sky
2026-08-25T14:51:54.642Z,London,25.51,clear sky
2026-08-25T16:34:14.513Z,London,24.63,clear sky
2026-08-25T18:35:48.900Z,London,21.88,broken clouds
2026-08-25T20:25:24.821Z,London,19.49,broken clouds
2026-08-25T22:23:45.046Z,London,18.86,broken clouds
